Kernel trace events
Device, Binary, Kernel, Compute Unit, Function, Data Type, Index, Start Time (ms), End Time (ms), Value
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,top,top,0,0.034852,0.109627,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499,outstanding,0,0.000000,0.037336,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499,outstanding,0,0.037336,0.109627,1
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499,outstanding,0,0.109627,0.109627,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499,row,0,0.000000,0.037336,65535
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499,row,0,0.037336,0.109627,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499,row,0,0.109627,0.109627,65535
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0,outstanding,0,0.000000,0.037336,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0,outstanding,0,0.037336,0.109627,1
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0,outstanding,0,0.109627,0.109627,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0,row,0,0.000000,0.037336,65535
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0,row,0,0.037336,0.109627,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0,row,0,0.109627,0.109627,65535
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0,outstanding,0,0.000000,0.037336,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0,outstanding,0,0.037336,0.037339,1
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0,outstanding,0,0.037339,0.088809,2
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0,outstanding,0,0.088809,0.109627,1
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0,outstanding,0,0.109627,0.109627,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0,row,0,0.000000,0.037336,65535
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0,row,0,0.037336,0.088809,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0,row,0,0.088809,0.088809,65535
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0,row,1,0.000000,0.037339,65535
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0,row,1,0.037339,0.109627,1
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0,row,1,0.109627,0.109627,65535
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0/dataflow_parent_loop_proc22_U0,outstanding,0,0.000000,0.037336,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0/dataflow_parent_loop_proc22_U0,outstanding,0,0.037336,0.037339,1
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0/dataflow_parent_loop_proc22_U0,outstanding,0,0.037339,0.088809,2
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc28_fu_1499/dataflow_parent_loop_proc26_U0/dataflow_parent_loop_proc25_U0/dataflow_parent_loop_proc22_U0,outstanding,0,0.088809,0.109627,1
