53
64,4,224,224,7,10,0.948506616,2,1,56,7,1,2,1,1,2,4,4,7,5,1,32,2,1,8,1,1,1
64,100,56,56,1,1,0.941172297,1,2,4,7,1,1,1,2,5,14,1,1,1,1,32,10,1,8,1,1,1
64,64,56,56,3,3,0.883952985,2,1,8,7,1,1,1,1,1,7,1,3,3,1,32,64,1,8,1,1,1
256,84,56,56,1,1,0.903930755,2,2,28,1,1,1,1,4,2,2,7,1,1,1,32,21,1,8,1,1,1
256,84,56,56,1,1,0.941172297,8,2,2,7,1,1,1,1,3,28,1,1,1,1,32,14,1,8,1,1,1
64,284,56,56,1,1,0.942561746,1,2,14,1,1,1,1,2,2,4,7,1,1,1,32,71,1,8,1,1,1
64,64,56,56,3,3,0.89638758,2,1,28,7,1,1,1,1,2,2,1,3,3,1,32,32,1,8,1,1,1
256,96,56,56,1,1,0.905644165,1,3,4,7,1,1,1,8,2,14,1,1,1,1,32,16,1,8,1,1,1
64,258,56,56,1,1,0.976756068,1,1,14,1,1,1,1,2,3,4,7,1,1,1,32,86,1,8,1,1,1
64,72,56,56,3,3,0.83585084,2,2,2,7,1,1,1,1,6,28,1,3,3,1,32,6,1,8,1,1,1
256,152,56,56,1,1,0.868577979,2,2,14,1,1,1,1,4,2,4,7,1,1,1,32,38,1,8,1,1,1
128,260,56,64,1,1,0.978649151,1,2,14,2,1,1,1,4,1,4,4,1,1,1,32,130,1,8,1,1,1
128,129,56,56,3,3,0.912472334,4,1,4,7,1,1,1,1,43,14,1,3,3,1,32,3,1,8,1,1,1
512,186,28,32,1,1,0.91849392,8,3,2,4,1,1,1,2,2,14,1,1,1,1,32,31,1,8,1,1,1
512,280,56,64,1,1,0.978649151,8,2,1,4,1,1,1,2,2,56,2,1,1,1,32,70,1,8,1,1,1
128,540,28,32,1,1,0.889449933,1,9,2,1,1,1,1,4,3,14,4,1,1,1,32,20,1,8,1,1,1
128,132,28,32,3,3,0.80510677,2,2,7,2,1,1,1,2,2,4,2,3,3,1,32,33,1,8,1,1,1
